Country,GDP per capita,Life satisfaction
Australia,50961.865,82.1
Austria,43724.031,81.0
Belgium,40106.632,80.5
Brazil,8669.998,73.7
Canada,43331.961,81.5
Chile,13340.905,78.9
Czech Republic,17256.918,78.2
Denmark,52114.165,80.1
Estonia,17288.083,76.5
Finland,41973.988,80.7
France,37675.006,82.1
Germany,40996.511,81.0
Greece,18064.288,80.7
Hungary,12239.894,75.2
Iceland,50854.583,83.0
Ireland,51350.744,81.0
Israel,35343.336,81.8
Italy,29866.581,82.3
Japan,32485.545,83.2
Korea,27195.197,81.3
Luxembourg,101994.093,81.5
Mexico,9009.28,74.6
Netherlands,43603.115,81.2
New Zealand,37044.891,81.5
Norway,74822.106,81.5
Poland,12495.334,76.9
Portugal,19121.592,80.5
Russia,9054.914,70.2
Slovak Republic,15991.736,76.2
Slovenia,20732.482,80.2
Spain,25864.721,82.5
Sweden,49866.266,81.8
Switzerland,80675.308,82.8
Turkey,9437.372,74.6
United Kingdom,43770.688,81.0
United States,55805.204,78.7
